First Name,Last Name,Grad School,Title,Department,School
Matthew,Cleary,University of Chicago,Associate Professor,Political Science,Syracuse
Andrew,Cohen,University of Chicago,Associate Professor,History,Syracuse
Elizabeth,Cohen,Yale University,Associate Professor,Political Science,Syracuse
Goodwin,Cooke,Harvard University,Professor of Practice Emeritus,International Relations ,Syracuse
William,Coplin,American University,Professor and Director,Public Affairs,Syracuse
Bruce,Dayton,Syracuse University,Research Assistant Professor,Department of Political Science ,Syracuse
Christopher,DeCorse,University of California,Professor,Anthropology,Syracuse
Thomas,Dennison,Pennsylvania State University,Professor of Practice,Public Administration and International Affairs ,Syracuse
Marjorie,DeVault,Northwestern University,Professor,Sociology,Syracuse
Albrecht,Diem,University of Utrecht,Associate Professor,History,Syracuse
Dawn,Dow,University of California,Assistant Professor,Sociology,Syracuse
Gavan,Duffy,Massachusetts Institute of Technology,Associate Professor,Political Science,Syracuse
Donald,Dutkowsky,State University of New York,Professor,Economics,Syracuse
Michael,Ebner,Columbia University,Associate Professor and Chair,History,Syracuse
Colin,Elman,Columbia University,Associate Professor,Political Science,Syracuse
Miriam,Elman,Columbia University,Associate Professor,Political Science,Syracuse
Gary,Engelhardt,Massachusetts Institute of Technology,Professor,Economics,Syracuse
Margarita,Estevez-Abe,Harvard,Associate Professor,Political Science,Syracuse
Jerry,Evensky,Syracuse University,Professor,Economics,Syracuse
Christopher,Faricy,The University of North Carolina at Chapel Hill,Assistant Professor,Political Science,Syracuse
Carol,Faulkner,Binghamton University,Professor,History,Syracuse
Christopher,Ferrero,University of Virginia,Post-Doctoral Fellow,Political Science,Syracuse
Alfonso,Flores-Lagunes,The Ohio State University,Professor,Economics,Syracuse
Shana,Gadarian,Princeton University,Assistant Professor,Political Science,Syracuse
Peng,Gao,University of Buffalo,Associate Professor,Geography,Syracuse
Jeffrey,Gonda,Yale University,Assistant Professor,History,Syracuse
Cecilia,Green,University of Toronto,Associate Professor,Sociology,Syracuse
Vernon,Greene,Indiana University,Professor,Public Administration and International Affairs,Syracuse
Dimitar,Gueorguiev,University of California at San Diego,,,Syracuse
Paul,Hagenloh,University of Texas,Associate Professor,History,Syracuse
Sarah,Hamersma,University of Wisconsin-Madison,Assistant Professor,Public Administration &amp; International Affairs,Syracuse
Jonathan,Hanson,University of Michigan,Assistant Professor,Political Science,Syracuse
Madonna,Meyer,Florida State University,Professor,Department Chair,Syracuse
Petra,Hejnova,Syracuse University,,,Syracuse
Margaret,Hermann,Northwestern University,Professor,Political Science,Syracuse
Samantha,Herrick,Harvard University,Associate Professor,History,Syracuse
William,Horrace,Michigan State University,Professor and Chair,Economics,Syracuse
Yilin,Hou,Syracuse University,Professor,Public Administration &amp; International Affairs ,Syracuse
Peter,Howe,Syracuse University,Assistant Professor,Economics,Syracuse
Azra,Hromadzic,University of Pennsylvania,Assistant Professor,Anthropology,Syracuse
Matthew,Huber,Clark University,Assistant Professor,Geography,Syracuse
Hugo,Jales,University of British Columbia,Assistant Professor,Economics,Syracuse
Seth,Jolly,Duke University,Assistant Professor,Political Science,Syracuse
Amy,Kallander,University of California,Associate Professor,History,Syracuse
George,Kallander,Columbia University,Associate Professor,History,Syracuse
Chihwa,Kao,State University of New York,Professor,Economics,Syracuse
Leyla,Karakas,Johns Hopkins University,Assistant Professor,Economics,Syracuse
Neil,Katz,University of Maryland,Associate Professor Emeritus,Public Affairs,Syracuse
Thomas,Keck,Rutgers University,Associate Professor,Political Science,Syracuse
Jerry,Kelly,Harvard University,,,Syracuse
Ralph,Ketcham,Syracuse University,Professor Emeritus,History,Syracuse
Osamah,Khalil,University of California, Assistant Professor,History,Syracuse
Soonhee,Kim,University of Albany,Professor,Public Administration and International Affairs,Syracuse
Sharon,Kioko,Indiana University,Associate Professor,Public Administration and International Affairs ,Syracuse
Audie,Klotz,Cornell University,Professor,Political Science,Syracuse
Thomas,Kniesner,The Ohio State University,Emeritus Professor,Economics,Syracuse
Natalie,Koch,University of Colorado at Boulder,Assistant Professor,Geography,Syracuse
Louis,Kriesberg,University of Chicago,Professor Emeritus,Sociology,Syracuse
Jeffrey,Kubik,Massachusetts Institute of Technology,Associate Professor,Economics,Syracuse
Prema,Kurien,Brown University,Professor,Sociology,Syracuse
Norman,Kutcher,Boston College,Associate Professor,History,Syracuse
Chris,Kyle,Auckland University,Associate Professor,History,Syracuse
Derek,Laing,University of Essex,Associate Professor,Economics,Syracuse
W.,Lambright,Columbia University,Professor,Public Administration and International Affairs and Political Science,Syracuse
Elisabeth,Lasch-Quinn,University of Massachusetts,Professor,History,Syracuse
Jesse,Lecy,Syracuse University,,,Syracuse
Yoonseok,Lee,Yale University,Assistant Professor,Economics,Syracuse
Andrew,Lipman,University of Pennsylvania,Assistant Professor,History,Syracuse
Chung-Chin,Liu,Syracuse University,Assistant Professor,Economics,Syracuse
Richard,Loder,Syracuse University,Professor,Sociology,Syracuse
Andrew,London,University of Pennsylvania,Professor,Graduate Director,Syracuse
Leonard,Lopoo,University of Chicago,Associate Professor,Public Administration and International Affairs,Syracuse
Julia,Loughlin,Columbia University,,,Syracuse
Mary,Lovely,University of Michigan,Professor,Economics,Syracuse
Amy,Lutz,University of Albany,Associate Professor,Sociology,Syracuse
Yingyi,Ma,Johns Hopkins University,Associate Professor,Sociology,Syracuse
William,Mangin,Yale University,Professor Emeritus,Anthropology,Syracuse
Laurie,Marhoefer,Rutgers University/New Brunswick,Assistant Professor,History,Syracuse
Frederick,Marquardt,University of California,Assistant Professor Emeritus,History,Syracuse
Allan,Mazur,Johns Hopkins University,Professor,Public Affairs,Syracuse
Robert,McClure,Indiana University,Professor,Political Science and Public Affairs,Syracuse
Gladys,McCormick,University of Wisconsin-Madison,Assistant Professor,History,Syracuse
Daniel,McDowell,University of Virginia,Assistant Professor,Political Science,Syracuse
John,,University of Wisconsin,Associate Professor and Vice Chair,Public Administration and International Affairs,Syracuse
Donald,Meinig,University of Washington,Professor Emeritus,Geography,Syracuse
John,Mercer,McMaster University,Professor Emeritus,Geography,Syracuse
Ines,Mergel,University of St. Gallen (Switzerland),Associate Professor,Public Administration and International Affairs,Syracuse
Susan W.,Millar,Rutgers University,Associate Professor,Geography,Syracuse
Jerry,Miner,University of Michigan,Professor Emeritus,Economics,Syracuse
Don,Mitchell,Rutgers University,Distinguished Professor,Geography,Syracuse
Devashish,Mitra,Columbia University,Professor,Economics,Syracuse
Mark,Monmonier,Pennsylvania State University,,,Syracuse
Glyn,Morgan,University of California,Associate Professor,Political Science,Syracuse
Cynthia,Morrow,Tufts University School of Medicine,Professor of Practice,Public Administration and International Affairs,Syracuse
Anne,Mosher,Pennsylvania State University,Associate Professor,Geography,Syracuse
Quinn,Mulroy,Columbia University,Assistant Professor,Political Science,Syracuse
Robert,Murrett,Georgetown University,Deputy Director,Institute for National Security and Counterterrorism (INSCT) Professor of Practice,Syracuse
Piyusha,Mutreja,University of Iowa,Assistant Professor,Economics,Syracuse
Tina,Nabatchi,Indiana University,Associate Professor,Public Administration and International Affairs,Syracuse
James,Newman,University of Minnesota,Professor Emeritus,Geography,Syracuse
Terrell,Northrup,Syracuse University,Assistant Professor,International Relations,Syracuse
Shannon,Novak,University of Utah,Associate Professor and Graduate Director,Anthropology,Syracuse
Inge,O'Connor,Syracuse University,Assistant Professor,Economics,Syracuse
Jan,,University of Wisconsin,Professor,Economics,Syracuse
Jackie,Orr,University of California,Associate Professor,Sociology,Syracuse
John,Palmer,Stanford University,,,Syracuse
Arthur,Paris,Northwestern University,Associate Professor,Sociology,"Syracuse"""
Deborah,Pellow,Northwestern University,Professor and Undergraduate Director,Anthropology,Syracuse
Tom,Perreault,University of Colorado,Professor,Geography,Syracuse
Rebecca,Peters,Brown University,Assistant Professor,Public Administration and International Affairs ,Syracuse
Guido,Pezzarossi,2014,Assistant Professor,Anthropology,Syracuse
Spencer,Piston,Ann Arbor,Assistant Professor,Political Science,Syracuse
William,Pooler,University of Michigan,Associate Professor Emeritus,Sociology,Syracuse
David,Popp,Yale University,Professor,Public Administration and International Affairs ,Syracuse
Sarah,Pralle,University of Washington,Associate Professor,Political Science,Syracuse
Gretchen,Purser,University of California,Assistant Professor,Sociology,Syracuse
Jane M.,,Louisiana State University,Associate Professor,Geography,Syracuse
Grant,Reeher,Yale University,Professor,Political Science,Syracuse
David,Robinson,London University,,,Syracuse
Jonnell,Robinson,University of North Carolina at Chapel Hill,Assistant Professor,Geography,Syracuse
Lars,Rodseth,University of Michigan,Associate Professor,Anthropology,Syracuse
Dennis,Romano,Michigan State University,,,Syracuse
Stuart,Rosenthal,University of Wisconsin,Professor,Economics,Syracuse
Ross,Rubenstein,New York University,Professor and Chair,Public Administration and International Affairs,Syracuse
Robert,Rubinstein,State University of New York,,,Syracuse
Mark,Rupert,Claremont Graduate School,Professor,Political Science,Syracuse
Tod,Rutherford,University of Wales,Professor,Geography,Syracuse
Anoop,Sadanandan,Duke University,Assistant Professor,Political Science,Syracuse
S.,Sangmpam,University of Chicago,Professor,Political Science and African American Studies,Syracuse
Rebecca,Schewe,University of Wisconsin-Madison,Assistant Professor,Sociology,Syracuse
Mark,Schmeller,University of Chicago,Associate Professor,History,Syracuse
Sabina,Schnell,George Washington University,,,Syracuse
Larry,Schroeder,University of Wisconsin,Professor Emeritus,Public Administration and International Affairs,Syracuse
Amy,Schwartz,Columbia University,Professor,Economics and Public Administration &amp; International Affairs,Syracuse
Amy,Schwartz,Economics,,,Syracuse
Maureen,Schwarz,University of Washington,Professor,Anthropology,Syracuse
Josh,Sellers,University of Chicago,Post-Doctoral Fellow,Political Science,Syracuse
Milton,Sernett,University of Delaware,Professor Emeritus,History and African American Studies,Syracuse
Yuksel,Sezgin,University of Washington,Assistant Professor,Political Science,Syracuse
Martin,Shanguhyia,West Virginia University,Assistant Professor,History,Syracuse
James,Sharp,University of California,Professor Emeritus,History,Syracuse
Abdulaziz,Shifa,Stockholm University,Assistant Professor,Economics,Syracuse
Merril,Silverstein,Columbia University,,,Syracuse
Perry,Singleton,University of Maryland,Associate Professor,Economics,Syracuse
Theresa,Singleton,University of Florida,Associate Professor,Anthropology,Syracuse
Abbey,Steele,Yale University,Assistant Professor,Public Administration &amp; International Affairs,Syracuse
James,Steinberg,Yale Law School,,,Syracuse
William Stinchcombe,1937-2014,University of Michigan,Professor Emeritus,History,Syracuse
Jeffrey,Stonecash,Northwestern University,,,Syracuse
Jennifer,Stromer-Galley,2002,,,Syracuse
Farhana,Sultana,University of Minnesota,Associate Professor,Geography,Syracuse
Junko,Takeda,Stanford University,Associate Professor,History,Syracuse
Seiki,Tanaka,University of Tokyo,,,Syracuse
Brian,Taylor,Massachusetts Institute of Technology,Professor,Political Science,Syracuse
Laurence,Thomas,University of Pittsburgh,Professor,Political Science and Philosophy,Syracuse
Margaret,Thompson,University of Wisconsin,Associate Professor,History and Political Science,Syracuse
Stuart,Thorson,University of Minnesota,Professor,Political Science and International Relations,Syracuse
John,Townsend,University of California,Professor,Anthropology,Syracuse
John,Townsend,University of California,Professor,Anthropology,Syracuse
A.,Tussing,Syracuse University,Emeritus Professor,Economics,Syracuse
Cecilia,Hollen,University of California,Associate Professor,Anthropology,Syracuse
David,Slyke,University at Albany,,,Syracuse
Susan,Wadley,University of Chicago,Professor,Anthropology,Syracuse
Michael,Wasylenko,Syracuse University,Professor,Economics,Syracuse
Stephen Saunders,Webb,University of Wisconsin,Professor Emeritus,History,Syracuse
John,Western,University of California,Professor,Geography,Syracuse
Peter,Wilcoxen,Harvard University,Associate Professor,Public Administration and International Affairs,Syracuse
Janet,Wilmoth,Pennsylvania State University,Professor,Sociology,Syracuse
Robert,Wilson,University of British Columbia,Associate Professor,Geography,Syracuse
Jamie,Winders,University of Kentucky,Associate Professor,Chair,Syracuse
Douglas,Wolf,University of Pennsylvania,Professor,Public Administration and International Affairs ,Syracuse
John,Yinger,Princeton University,,,Syracuse
Francine,D’Amico,Cornell University,Associate Professor and Undergraduate Studies Director,International Relations,Syracuse
Renée,de Nevers,Columbia University,Associate Professor,Public Administration and International Affairs,Syracuse
Lourenço,Paz,University of Maryland,Assistant Professor,Economics,Syracuse
